职位名称,公司名称,工作地点,参考月薪,学历要求,发布时间,岗位职责
市场专员,北京习鼎阁资产管理有限公司,厦门市思明区,0,大专,2019-5-14 8:15,注：非电销、网销。岗位职责：1.负责公司品牌推广及金融产品的销售。 2.每月跟随公司做社区公益活动，传递社会正能量。3.根据公司团队营销计划，完成团队及个人的销售指标。4.建立并维护客户关系，市场开...
财务助理,厦门柏思特工贸有限公司,厦门市集美区,4500,中专,2019-5-14 8:07,1.高中以上学历，偏向文员工作，毕业生亦可考虑。2.对数字敏感。3.工作认真负责，协调沟通能力好。
财富客户经理,华创证券有限责任公司厦门湖滨南路证券营业部,厦门市思明区,0,,2019-5-14 8:05,岗位职责： 1、根据营业部的年度零售与财富经营计划，充分有效拓展营销渠道和零售客户；2、全面有效地经营管理营销渠道（银行和社区），及时有效地回应营销渠道、客户的咨询和反馈；3、向客户提供专业化综合金...
经纪人事业部负责人,华创证券有限责任公司厦门湖滨南路证券营业部,厦门市,0,本科,2019-5-14 8:05,岗位职责：1、全面负责营业部经纪人团队建设，推动经纪人综合金融素质提升；2、负责经纪人招聘、管理、培训，建立营业部特色的经纪人文化体系；3、制定经纪人综合金融服务方案；4、按照公司、营业部的战略发...
银行信控专员,伯乐树企业管理咨询（厦门）有限公司,厦门市、厦门市湖里区,7500,大专,2019-5-14 8:05,岗位职责：1.协助各大银行处理诉讼案件前期的资信调查工作，核实登记管理欠款人信息；2.通过各种有效方式查找失联的客户，提高回款率，减低坏账损失，并对于客户提出的问题给予解答和帮助；3.通过电话沟通，函...
操盘手,厦门源杉本善信息科技有限公司,厦门市湖里区、福建省,0,大专,2019-5-14 8:04,【职位职能】1、严格执行止赢止损，为公司实现稳定盈利，提高盈利率；2、公司提供操盘资金，无需开发客户找资金；3、负责公司账户的资金运作；4、把握市场机会，即时交易；5、认真好学：国家相关金融政策...
业务员,厦门金禾穗商务服务有限公司,厦门市思明区,9000,无,2019-5-14 8:03,岗位职责：1、代办公司注册、代理记账、审计税审、投融资咨询；2、负责搜集新客户的资料并进行沟通，开发新客户；3、维护老客户的业务，挖掘客户的最大潜力；4、定期与合作客户进行沟通，建立良好的长期合作...
业务员,厦门信守会计师事务所有限公司,厦门市思明区,9000,无,2019-5-14 8:03,岗位职责：1、代办公司注册、代理记账、审计税审、投融资咨询；2、负责搜集新客户的资料并进行沟通，开发新客户；3、维护老客户的业务，挖掘客户的最大潜力；4、定期与合作客户进行沟通，建立良好的长期合作...
投资经理,厦门松霖科技股份有限公司,厦门市海沧区,15000,,2019-5-14 8:02,岗位职责：1、负责制定企业的年度和中长期投资策略。2、负责开拓投资市场，并组织人员进行项目的行业及投资项目的市场调研。3、组织人员根据市场调研结果出具可行性报告，完成项目的筛选和评估。4、负责参与...
投资并购财务主管,厦门松霖科技股份有限公司,厦门市海沧区,9000,本科,2019-5-14 8:02,岗位职责：1.主持财务部的工作；2.根据公司的战略目标及产品布局拟定投资并购业务及财务规划；3.参与组织、设计、评估投资项目、拟订合作方案和投资方案；4.构建财务模型，协助进行交易项目筛选，交易方案初...
风控总监,厦门金合社金融技术服务有限公司,厦门市思明区,37500,无,2019-5-14 8:02,----风控总监（1名）--------岗位职责：1、建立风控测量和预警机制，完善内部风险评级及评估报告、监控体系；2、负责组织、带领风控团队对各类投资项目的评审并负责项目的全程风险监控，包括事前、事中、事后...
会计,厦门东纶股份有限公司,厦门市同安区,4250,大专,2019-5-14 7:56,1、全日制大专及以上财务或金融相关专业毕业；2、持会计证，熟悉财务软件及纳税申报；3、熟练操作财务软件、办公软件；4、欢迎优秀应届本地（闽南）生源毕业生应聘。
市场部经理,中国人寿保险股份有限公司厦门公司一分部,厦门市思明区,9000,大专,2019-5-14 7:51,工作内容：负责组建市场开拓部门.任职要求：1、25岁-45周岁，全日制专科及以上（特别优秀者可放宽年龄及学历）。2、诚信，有责任心，愿意为团队付出时间和精力，有学习力，有爱心。3.有自律性，乐观开朗...
保险代理人,中国人寿保险股份有限公司厦门公司一分部,厦门市思明区,9000,高中,2019-5-14 7:51,如果离开校园的你，渴望寻求一份满意的工作 ； 　　 如果刚入社会的您，希望有平台帮助自己提升工作能力和综合素质 ； 　　 如果频繁跳槽的您，却还找不到自己的职业定位和发展方向 ； 　　 如果谋求高薪的您...
投资专员（医疗行业）,博益宁（厦门）医疗器械有限公司,厦门市海沧区,0,本科,2019-5-14 7:50,岗位职责：1.对投资项目进行前期市场调研，对行业进行研究分析，及时准确的收集信息；2.根据行业和市场调研结果进行项目的可行性分析，并完成可行性分析报告，提出有关投资方向的建议；3.对投资项目实施评估、...
汽车金融,厦门元电新能源汽车有限公司,厦门市湖里区,7500,,2019-5-14 7:39,做过汽车贷款金融这方面的业务，上班到一些汽车行业，4s店推销公司金融，有相关业务方面的优先考虑！
财务助理、会计助理,厦门市天之助财务管理有限公司,厦门市思明区,2250,中专,2019-5-14 7:06,中专以上学历，持会计证，电脑操作熟练、口齿清楚，头脑反应敏捷，数字观念强，年龄20岁以上，男女不限，工作积极主动、任劳任怨、有上进心、做事待人谦虚、能长期在公司忠于职守、能与公司共同成长、希望有稳定固定...
催收内勤,厦门复中盛信息服务有限公司,厦门市,8000,,2019-5-14 6:57,【岗位职责】1.接受银行及电信公司委托处理信用卡及电话逾期欠款事项；2.在办公室内通过电话提醒客户信用卡透支及电话欠费信息，请其及时还款，无需外出外访3.客户信息均由银行及电信公司提供，无需自已寻找客...
银行外呼专员,厦门市翰源资产管理有限公司,厦门市、厦门市思明区、厦门市湖里区,11500,高中,2019-5-13 23:05,一、岗位职责：1、对银行信用卡、贷款客户提供账单通知和咨询服务。2、提醒用户及时还款，提高个人征信。3、以专业、规范的程序协助银行处理逾期账户。4、协助主管处理团队事务。二、任职资格：1、具有...
信控专员（储备干部）,厦门市翰源资产管理有限公司,厦门市湖里区、福建省、厦门市,10000,高中,2019-5-13 23:05,工作职责：1、与银行指定客户电话沟通协调，维护银行资产，降低银行运营风险； 2、系统化客户管理及维护，完成每月订立的业务目标；3、法务及法务前作业评估、追踪与协调；4、协助主管做好内部业务工作。 ...
催收主管,厦门市翰源资产管理有限公司,厦门市、厦门市湖里区,22500,无,2019-5-13 23:05,一、工作职责：1、负责制定团队工作计划，分解下达团队的目标并组织落实；2、检查并提升团队工作效率，订立业绩改善计划并执行；3、稽核团队成员作业规范，开展绩效评估管理。二、任职要求：1、二年以上工...
信控主管,厦门市翰源资产管理有限公司,厦门市湖里区,22500,大专,2019-5-13 23:05,一、工作职责：1、负责制定团队工作计划，分解下达团队的目标并组织落实；2、检查并提升团队工作效率，订立业绩改善计划并执行；3、稽核团队成员作业规范，开展绩效评估管理。二、任职要求：1、二年以上...
贷款逾期账款处理专员,厦门市翰源资产管理有限公司,厦门市湖里区,6500,,2019-5-13 23:05,一、岗位职责：1、对银行信用卡、贷款客户提供账单通知和咨询服务。2、提醒用户及时还款，提高个人征信。3、以专业、规范的程序协助银行处理逾期账户二、任职资格：1、具有良好的沟通表达能力；2、良...
业务专员（可兼职）,厦门夜光投资咨询有限公司,厦门市湖里区,7500,大专,2019-5-13 23:04,岗位职责：1.理财、贷款等平安金融产品的推广销售与客户服务；2.工作时间灵活，适合需要兼顾家庭的宝妈与自由职业人士；3.带薪优质岗前培训，专业团队指导协助，您的自我提升，就从这里开始。岗位要求...
"金融产品销售
                            [兼职]",厦门夜光投资咨询有限公司,厦门市湖里区,7500,,2019-5-13 23:04,岗位职责：1.理财、贷款等平安金融产品的推广销售与客户服务；2.工作时间灵活，适合需要兼顾家庭的宝妈与自由职业人士；3.带薪优质岗前培训，专业团队指导协助，别怕没经验，只怕不行动。岗位要求：...
保单客户经理,厦门夜光投资咨询有限公司,厦门市湖里区,9500,大专,2019-5-13 23:04,1.为客户提供以平安金融产品为主的各类金融投资信息，并做好售前与售后服务；2.维护公司与客户之间的良好关系，以此基础拓展业务。岗位要求：1.年满25周岁；2.大专以上学历优先；3.沟通能力强，喜爱销售...
贷款业务员,厦门夜光投资咨询有限公司,厦门市湖里区、厦门市,9500,大专,2019-5-13 23:04,岗位职责：1.为客户提供理财、保险、贷款等方面金融投资信息，并提供以平安金融产品为主的售前与售后服务；2.维护公司与客户之间的良好关系，在此基础上做好业务拓展工作。岗位要求：1.年满25周岁；...
销售经理,厦门夜光投资咨询有限公司,厦门市湖里区、厦门市,9500,大专,2019-5-13 23:04,岗位职责：1.为客户提供保险、理财等方面金融投资信息，并提供以平安金融产品为主的售前与售后服务；2.维护公司与客户之间的良好关系，在此基础上做好业务拓展工作。岗位要求：1.年满25周岁；2.大专...
网络推广销售业务员/客服,晋江市炫赫门商贸有限公司,厦门市,9250,无,2019-5-13 22:36,1.能接受外派工作2.懂电脑，会使用相关办公软件，具备网络知识，有耐心，执行力强。工作内容：1.线上网络平台及app推广2.维护现有会员帮助解决问题，开发新会员待遇福利：1.公司提供培训以及提供资源2...
业务,厦门东雷好青企业管理有限公司,福建省、厦门市,15000,,2019-5-13 21:37,岗位职责：1.洽谈台资企业挂牌事宜。任职要求：1.学历及专业不限，具有基金从业资格证优佳；2.对金融行业特别是股票有浓厚兴趣，对工作富有激情，喜欢接受挑战；3.有较强的学习能力，头脑灵活，反应敏捷，行动...
业务代表,厦门东雷好青企业管理有限公司,漳州市,15000,,2019-5-13 21:37,位职责：1.洽谈台资企业挂牌事宜。任职要求：1.学历及专业不限，具有基金从业资格证优佳；2.对金融行业特别是股票有浓厚兴趣，对工作富有激情，喜欢接受挑战；3.有较强的学习能力，头脑灵活，反应敏捷，行...
行政（漳州角美）,厦门东雷好青企业管理有限公司,漳州市,3500,大专,2019-5-13 21:37,"1.文件整理；2.配合度佳,能吃苦耐劳；3.有较好的沟通表达能力及服务意识；4.工作有条理，细致、认真、有责任心，办事严谨；5.熟练电脑操作及Office办公软件，具备基本的网络知识；6.熟悉办公室行政管理知..."
证券经纪人,华福证券有限责任公司厦门分公司,厦门市,11500,高中,2019-5-13 21:26,岗位职责：1、具有较好的客户与渠道资源储备，能够有效开发客户与渠道资源；2、具备市场开拓能力、良好的客户沟通能力及关系管理能力；3、具有自律和自我驱动能力，具有高度的工作热情；岗位要求：1、高中...
投资经理（成长型）,华福证券有限责任公司厦门分公司,厦门市,11500,本科,2019-5-13 21:26,岗位职责：1、服务好公司存量客户，深度做好客户关系服务和价值挖掘；2、销售公司各类产品； 3、通过特定金融渠道深度开发新增客户；4、负责提供全方位的证券投资服务。岗位要求：1、本科及以上学历；...
投资经理（成熟型）,华福证券有限责任公司厦门分公司,厦门市,15000,,2019-5-13 21:26,岗位职责：1、运用公司的各类平台资源，分析筛选相关的财富管理信息；2、根据适当性管理和客户需求，向客户发布合适的财务管理方案、投资理财信息等；3、服务好公司存量客户，深度做好客户关系服务和价值挖掘...
基金销售经理,厦门宏沧汇资产管理有限公司,厦门市思明区,9000,高中,2019-5-13 21:02,本岗位福利待遇：1、无责任底薪+业务提成、五险＋商业险、话费补贴、年终奖、 员工活动等各项福利；2、激励制薪金（超额完成当月任务，可上涨保底工资）；3、五天工作制、双休、法定节假日、超长春节假；4、...
综合柜台专员,长城国瑞证券有限公司厦门仙岳路证券营业部,厦门市思明区,6500,本科,2019-5-13 20:37,（1）负责客户账户的开户、账户信息的变更、销户、账户交易权限维护等账户管理业务。（2）负责客户资金存管业务包括人民币交易结算资金的三方存管关系的建立和联通工作，外币银证转账关系的建立与维护。（3）对...
营销经理,厦门天九双众集团有限公司,厦门市、厦门市思明区,35000,大专,2019-5-13 20:25,岗位职责：1丶开发挖掘企业家客户并保持沟通及后期关系维护；2丶向客户介绍集团运营模式以及全国联营投资项目；3丶邀请客户参加天就共享投资洽谈会，并在活动现场协助领导谈判促进签约。4丶对下属团队成员进...
项目招商经理,厦门天九双众集团有限公司,厦门市思明区、厦门市,20000,大专,2019-5-13 20:25,岗位职责：1丶开发挖掘企业家客户并保持沟通及后期关系维护；2丶向客户介绍集团运营模式以及全国联营投资项目；3丶邀请客户参加天就共享投资洽谈会，并在活动现场协助领导谈判促进签约。任职条件：1、有...
客户经理,厦门天九双众集团有限公司,厦门市、厦门市思明区、厦门市湖里区,15000,无,2019-5-13 20:25,岗位职责：1丶开发挖掘企业家客户并保持沟通及后期关系维护；2丶向客户介绍集团运营模式以及全国联营投资项目；3丶邀请客户参加天就共享投资洽谈会，并在活动现场协助领导谈判促进签约。 任职条件：1、...
会议营销,厦门天九双众集团有限公司,厦门市思明区、厦门市,15000,大专,2019-5-13 20:25,岗位职责：1丶邀请客户参加天九共享投资洽谈会，协助企业家参与了解天九孵化项目的联营项目，并做好后期跟踪和维护。任职条件：1、有企业家资源或从事过企业家业务联络相关工作；2丶1年及以上营销工作经验...
高级营销主管,厦门天九双众集团有限公司,厦门市,25000,大专,2019-5-13 20:25,岗位职责：1丶开发挖掘企业家客户并保持沟通及后期关系维护；2丶向客户介绍集团运营模式以及全国联营投资项目；3丶邀请客户参加天就共享投资洽谈会，并在活动现场协助领导谈判促进签约。任职条件：1、有...
"项目经理助理
                            [实习]",厦门水木方圆企业管理咨询有限公司,厦门市思明区,1800,本科,2019-5-13 20:07,岗位职责：1.协助项目经理为客户提供专业的财税咨询服务及规划方案；2.根据现有的客户情况，对客户的需求进行深度挖掘，提供增值服务；3.协调项目会计团队日常财务事项； 任职要求：1、会计，财务，经济...
财务副总经理/董秘,福建中农牧生物药业有限公司,厦门市,32500,本科,2019-5-13 20:03,1、科创板（创业板）财务筹划与战略梳理2、资本的引入、协助高端人才的引进3、商业计划书/员工股权激励方案编写
外资会计,厦门帮联会计代理有限公司,厦门市同安区,5000,中专,2019-5-13 19:04,2年以上相关工作经验。熟练操作外资全套帐务，熟悉免抵退，工业、商业、服务业帐务流程。能熟练使用office软件和用友财务软件，良好的商品进销存管理，办事细心谨慎、稳重果断、思维敏捷、原则性强。有亲和...
证券事务代表,厦门铠甲网络股份有限公司,厦门市、厦门市思明区、厦门市湖里区,6500,本科,2019-5-13 18:58,岗位职责：1、负责了解公司日常经营活动中产生的重大信息，并及时发布，建立健全公司信息披露制度，编制与披露定期报告和临时报告；2、维护监管部门和投资者关系，研究、实施证券投资，撰写相关分析报告、提出建...
催收专员,厦门市丰元达金融技术服务有限公司,厦门市、漳州市,7500,中专,2019-5-13 18:56,【职位要求】1. 经验：客服或销售尤佳2. 性格：乐观主动积极，抗压性高，勇于接受挑战3. 能力：有良好的沟通协调能力及心理素质4、无不良信用记录。【岗位职责】1、执行银行业者委托处理之“信用卡”...
银行逾期账款催收专员（欢迎应届毕业生）,厦门市丰元达金融技术服务有限公司,厦门市湖里区,6000,中专,2019-5-13 18:56,【职位要求】1、大专以上学历；2、数据输入40/分以上；3、基本计算机操作；4、普通话标准、有从事销售、客服及催收相关工作者优先考虑；【岗位职责】1. 通过拨打电话查找客户，寻找意向客户，转接主管...
金融风控专员,厦门市丰元达金融技术服务有限公司,厦门市、漳州市,6000,,2019-5-13 18:56,【职位要求】1. 经验：客服或销售尤佳2. 性格：乐观主动积极，抗压性高，勇于接受挑战3. 能力：有良好的沟通协调能力及心理素质4、无不良信用记录。【岗位职责】1、执行银行业者委托处理之“信用卡”...
银行逾期账款处理专员,厦门市丰元达金融技术服务有限公司,厦门市、漳州市,6000,,2019-5-13 18:56,"【岗位内容】1、执行银行业者委托处理之“信用卡”应收帐款业务。2、以电话系统联系客户，进行债权债务双方之协调合解 , 以确保其债权债务。3、与信用卡持卡人及时沟通，告知信用卡持卡人人员及时偿还信用卡逾..."
美股交易员,厦门谷原资产管理有限公司,厦门市湖里区,15000,大专,2019-5-13 18:49,岗位职责：主要负责操作公司的资金账户从事美国证券交易市场（纽交所（NYSE）、纳斯达克（NASDAQ））的数据分析及操盘交易。任职要求：1、对股票交易有兴趣，立志在交易行业长期发展；2、熟悉日内交易相关工作或...
量化交易/分析师,厦门谷原资产管理有限公司,厦门市思明区、厦门市湖里区,11500,本科,2019-5-13 18:49,岗位职责：1、负责量化策略研究及开发，运用CTA策略、套利策略、阿尔法策略、趋势策略等研究方法；主要研究全球股市，研究方向包括数据挖掘与机器学习，因子模型等方面；2、负责建立股市组合策略研究量化分析模...
2019届应届实习生,厦门麦田人房地产代理有限公司思明第二十分公司,厦门市,7000,大专,2019-5-13 18:45,任职要求：1、大专及以上学历，热爱房产销售事业，应届毕业生2、具有强烈的成功愿望和进取心，敢于要求3、不甘平庸，有正直的品格及良好的服务心态岗位职责： 1、负责房源和客户的开发及维护，接待与咨询...
"操盘手
                            [实习]",厦门赑盛资产管理有限公司,福建省、厦门市,4000,,2019-5-13 18:25,"股指期货交易员公司出资金，交易标的以股指（IF,IC,IH）期货为主，采用合作制的方式，只要操盘盘手有相对稳定的交易策略（日内交易），对职位有以下要求:1）年龄18-45岁，性别不限，高中及以上学历；2）具..."
股票配资专员,厦门赑盛资产管理有限公司,厦门市、厦门市思明区,6000,高中,2019-5-13 18:25,岗位职责：1、负责开拓目标市场，根据客户的需求提供全方位的股票资金杠杆服务；2、负责与客户进行业务联络和沟通、维护客户关系；3、负责分析客户的股票资金杠杆需求，提供完善的杠杆服务；4、通过公司提供...
金融专员,厦门赑盛资产管理有限公司,厦门市,15000,无,2019-5-13 18:25,岗位职责：1、通过各类渠道开发意向客户，约见意向客户面谈；2、对新客户的跟进与追踪，对老客户的维护以及业务再开发；3、积极拓展我司业务领域，不断挖掘客户资源，为客户提供投资建议。岗位要求：1、具备较...
会计/财务,上海星致金融信息服务有限公司,厦门市,3500,大专,2019-5-13 18:02,岗位职责：1、每个交易日的结算、清算并复查、核对相关数据；                             2、平台之间的账面往来核对；3、按期编制结算报表，统计、报告、分析交易结算情况；4、配合上级主管进行清算管理制...
银行渠道客户经理,世纪晟和（厦门）资产管理有限公司,厦门市思明区,6000,大专,2019-5-13 17:54,你问我答环节：一、岗位职责是什么？1.负责贷款类产品市场、业务发展，开拓销售渠道2.负责客户、银行间的沟通协调，保持和维护客户及银行的良好合作关系3.收集、整理客户资料和业务档案，完成销售业绩指标...
储备主管,中国人寿保险股份有限公司厦门市开元支公司,厦门市思明区、福建省、厦门市,11500,中专,2019-5-13 17:47,中国人寿正式控股广发行，公司升级为大型综合金融集团，为了适应现代保险发展需要，正招募人品好，能力强的储备主管（代理制），您必须通过公司面试团老师的面试才算可以，公司将免费花1到2年的时间把您培养成为最优...
培训讲师,中国人寿保险股份有限公司厦门市开元支公司,厦门市,6500,本科,2019-5-13 17:47,岗位职责和任职资格:根据分公司的营销计划要求，协助拟定营业区和服务部保费达成计划及月度推动计划方案，确保营销业务按照节奏达成目标；2、日常督导、追踪阶段业务完成进度与人员培养情况，定期拟制业务报告，...
组训,中国人寿保险股份有限公司厦门市开元支公司,厦门市,9500,中专,2019-5-13 17:47,岗位职责：根据分公司的营销计划要求，协助拟定营业区和服务部保费达成计划及月度推动计划方案，确保营销业务按照节奏达成目标；2、日常督导、追踪阶段业务完成进度与人员培养情况，定期拟制业务报告，指导业务...
客户服务主管,中国人寿保险股份有限公司厦门市开元支公司,厦门市,8250,大专,2019-5-13 17:47,"岗位职责：1、负责公司产品的销售及推广；2、根据市场营销计划，完成部门销售指标；3、开拓新市场,发展新客户,增加产品销售范围；4、负责销售区域内销售活动的策划和执行，完成销售任务；5、管..."
客户服务专员,中国人寿保险股份有限公司厦门市开元支公司,厦门市,7000,中专,2019-5-13 17:47,"岗位职责：1、负责公司产品的销售及推广；2、根据市场营销计划，完成部门销售指标；3、开拓新市场,发展新客户,增加产品销售范围；4、负责销售区域内销售活动的策划和执行，完成销售任务；5、管..."
电话销售,大汉兴邦（厦门）资产管理有限公司,厦门市、厦门市思明区,7500,无,2019-5-13 17:45,任职资格：只要你是人才，我们绝对不会放过你的！有胆，就来挑战最高年资！一、我们对你的要求：（我们提供最专业的培训体系）1、男女不限，18-28周岁，良好的素养2、这里的收入绝对超出你的预期，所以你要...
电话销售（应届毕业生）,大汉兴邦（厦门）资产管理有限公司,厦门市、厦门市思明区,11500,无,2019-5-13 17:45,"一、工资：正常每月5000--8000，努力可达10000+薪资：初级客户经理底薪2500-3500,高级客户经理底薪3200-5200，+抽成+奖金+医社保+岗位津贴二、主要工作1、开发资源渠道，管理维护客户关系；2、完成公司及部..."
急聘信贷专员（周末双休）,大汉兴邦（厦门）资产管理有限公司,厦门市、厦门市思明区,11500,无,2019-5-13 17:45,任职资格：只要你是人才，我们绝对不会放过你的！有胆，就来挑战最高年资！一、我们对你的要求：（我们提供最专业的培训体系）1、男女不限，20-30周岁，良好的素养2、这里的收入绝对超出你的预期，所以你要...
总经理助理,厦门甲古金服信息咨询有限公司,厦门市思明区,0,本科,2019-5-13 17:45,岗位职责：1.负责公司金融项目的渠道对接维护管理2.与合作伙伴对接，对合作过程的事项进行沟通协调任职资格：1.女生，本科以上，专业不限，欢迎应届生2.会开车，有C1驾照3.具有敬业和团队协作精神；形...
客服专员（5天7小时）,大汉兴邦（厦门）资产管理有限公司,福建省、厦门市、厦门市思明区,6000,无,2019-5-13 17:44,任职资格：只要你是人才，我们绝对不会放过你的！有胆，就来挑战最高年资！一、我们对你的要求：（我们提供最专业的培训体系）1、男女不限，18-28周岁，良好的素养2、这里的收入绝对超出你的预期，所以你要...
渠道专员,大汉兴邦（厦门）资产管理有限公司,厦门市思明区、厦门市,11500,无,2019-5-13 17:44,"一、工资：正常每月5000--8000，努力可达10000+薪资：初级客户经理底薪2500-3500,高级客户经理底薪3200-5200，+抽成+奖金+医社保+岗位津贴二、主要工作1、开发资源渠道，管理维护客户关系；2、完成公司及部..."
信贷电销（周末双休）,大汉兴邦（厦门）资产管理有限公司,厦门市思明区、厦门市,11500,中专,2019-5-13 17:44,3k起信贷电销双休医社保厦门大汉兴邦资产管理有限公司是一群快乐的80后+一帮各种任性的90后组成，每天美美的睡饱迎着朝阳9点上班，上班时间轻松愉快，不需要跑业务，只有12345的班，67不用上班，让亲们体验什么...
大堂经理（思明区）,厦门银雁信息技术服务有限公司,厦门市思明区,4000,大专,2019-5-13 17:40,工作职责：1、主动迎送客户，耐心解答客户咨询，引导和分流客户，根据客户需求引导至相应区域办理业务； 2、协助受理客户意见，收集和整理客户意见与建议，妥善处理和协调客户投诉及突发事件。 3、维护大堂正...
电话催收专员（信控专员）,厦门恩之信资产管理有限公司,厦门市思明区,8000,中专,2019-5-13 17:39,"一、岗位职责 1、监督银行延期人员的还款情况，协助银行工作的开展。2、以专业、规范的程序协助银行处理信用卡、信贷、车贷、抵押贷款等逾期未还账款,3、与银行指定客户电话沟通协调，维护银行资产，降低银行..."
客户经理,中国人寿保险股份有限公司厦门市湖里区支公司,厦门市思明区、厦门市湖里区、厦门市,6500,大专,2019-5-13 17:37,【岗位职责】1、开发及拓展客户资源，维护并管理已有客户的联系；2、整理公司产品资讯，并向客户发送，定期拜访客户；3、为客户提供保险产品讲解说明，了解客户的潜在需求。【岗位要求】 1、热情、活泼...
销售经理,中国人寿保险股份有限公司厦门市湖里区支公司,厦门市湖里区、厦门市思明区、厦门市,16000,大专,2019-5-13 17:37,【任职要求】：1、具备较强的组织协调、沟通以及应变能力；2、具备二年以上销售主管工作经验；3、拼搏精神、较强的责任心和职业道德；有良好的团队管理能力；4、为客户提供全方位、专业的保险保障服务；...
理财顾问,中国人寿保险股份有限公司厦门市湖里区支公司,厦门市,12500,本科,2019-5-13 17:37,【岗位介绍】为客户进行理财规划的专业人员，是客户的“私人理财顾问”。理财顾问以客户的利益为出发点，了解客户在家庭财务方面存在的问题以及理财方面的需求，针对客户可以承担的风险水平和期望的预期收益目标，...
保险代理人,中国人寿保险股份有限公司厦门市湖里区支公司,厦门市,8000,高中,2019-5-13 17:37,"要求:1.年龄23岁以上，男女均可,品貌端正、身体健康。2.高中以上文化（大专及以上学历者待遇从优）。 3.具有积极进取的精神及接受挑战的欲望，有较强的事业心。4.具有良好的沟通能力及表达能力，或有从事过..."
春华投资工程部经理,厦门春华集团有限公司,厦门市,12500,,2019-5-13 17:37,职位要求：1、开展项目投资全流程工作，包括项目开拓、筛选、评估、立项、调研、交易架构设计、谈判、签约以及投后管理等；2、承担房地产、商业地产、产业园、公寓等项目的市场调研、投资分析、可行性研究；3...
春华投资总经理,厦门春华集团有限公司,厦门市,27500,本科,2019-5-13 17:37,岗位要求1.学历背景：房地产、金融、财务、经济相关专业本科以上学历；2.从业经验：8年以上投资、融资、资本运营经验。独立带领团队完成项目尽职调查、投资可行性研究、投资测算、交易结构设计，丰富的获取项...
产品经理,源合方略（厦门）管理咨询有限公司,厦门市海沧区,7000,高中,2019-5-13 17:37,岗位职责：1、负责拓展销售渠道，开发新客户，销售公司的金融产品；？2、负责收集市场信息和客户建议，向客户传递公司产品与服务信息；？3、负责向客户提供与银行业务相关的服务工作；4、负责开发与公司合作...
金融产品经理,源合方略（厦门）管理咨询有限公司,厦门市海沧区,7000,高中,2019-5-13 17:37,岗位职责：1、负责拓展销售渠道，开发新客户，销售公司的金融产品；？2、负责收集市场信息和客户建议，向客户传递公司产品与服务信息；？3、负责向客户提供与银行业务相关的服务工作；4、负责开发与公司合作...
金融规划经理,源合方略（厦门）管理咨询有限公司,厦门市海沧区,7000,高中,2019-5-13 17:37,岗位职责：1、负责拓展销售渠道，开发新客户，销售公司的金融产品；？2、负责收集市场信息和客户建议，向客户传递公司产品与服务信息；？3、负责向客户提供与银行业务相关的服务工作；4、负责开发与公司合作...
资产评估,源合方略（厦门）管理咨询有限公司,厦门市海沧区,7000,高中,2019-5-13 17:37,岗位职责：1、负责拓展销售渠道，开发新客户，销售公司的金融产品；2、负责收集市场信息和客户建议，向客户传递公司产品与服务信息；3、负责向客户提供与银行业务相关的服务工作；4、负责开发与公司合作的终...
金融证券律师助理,福建瀛坤律师事务所,厦门市思明区,4750,本科,2019-5-13 17:36,岗位：律师助理人数：2人要求：1.通过司法考试或持有律师证者优先，法律基础扎实；2.本科以上学历，硕士优先；3.乐于在团队中协同工作；4.踏实、认真、关注细节、善于沟通；5.具有会计、金融、证券等...
融资专员/经理,福建俊佑机电设备有限公司,厦门市海沧区,7500,,2019-5-13 17:33,岗位要求：职责描述：1、公司整体融资规划及策略的定制，负责寻找融资资本，全面规划融资项目，编制可行融资方案；2、负责公司的流动性资金风险管理，对公司短期、长期的资金需求进行预测，并及时提出相应的应...
财务助理,厦门吉瑞普电子科技有限公司,厦门市集美区,0,,2019-5-13 17:31,"A、财务或相关专业高中或中专以上学历,一年以上出纳工作经验B、熟悉企业财务操作流程C、熟悉银行各类结算业务的操作D、较强的责任心和团队合作精神E、能熟练操作财务操作软件和办公自动化软件F、对物料管..."
信贷专员,厦门毕方威投资管理有限公司,厦门市、厦门市思明区,11500,无,2019-5-13 17:28,岗位要求：1、具有良好的客户沟通、人际交往及维系客户关系的能力。2、诚实守信，为人谦虚、具有高度的团队合作精神和高度的工作热情。3、有强烈的创业意识，愿与公司一同成长。4、勤奋努力，具有吃苦耐劳以...
招商经理,泉州市英讯信息科技有限公司,厦门市湖里区,6500,,2019-5-13 17:27,岗位职责：1、根据公司营销战略，制定招商计划，并进行目标分解；2、保证营销网络的开拓与合理布局；3、分析市场动态，撰写分析报告；4、提高产品在所属区域的市场占有率和竞争力；5、维护与客户长期良好...
急需出纳,泉州市英讯信息科技有限公司,厦门市湖里区,5000,中专,2019-5-13 17:27,岗位职责：1、负责日常收支的管理和核对；2、办公室基本账务的核对；3、负责收集和审核原始凭证，保证报销手续及原始单据的合法性、准确性；4、负责登记现金、银行存款日记账并准确录入系统，按时编制银行存...
投资经理,万人控股集团有限公司,厦门市湖里区,20000,,2019-5-13 17:23,岗位职责：1.协助领导管理集团及下属企业对外投资工作；2.负责投资管理相关制度的梳理、优化、完善工作；3.参与集团及下属企业重点投资项目的甄选、评价、论证工作；4.负责具体项目或行业的调研分析和尽职调...
