职位名称,公司名称,工作地点,参考月薪,学历要求,发布时间,岗位职责
私募基金总经理,厦门市美亚柏科信息股份有限公司,厦门市思明区,0,,2019-5-10 9:54,岗位职责：1、负责对基金募集的开拓，维护及服务工作；开拓风险投资、私募股权投资、并购等方面的业务；2、负责基金项目交易结构设计、财务分析、调查、估值及回报分析等；3、负责项目的执行，包括引进项目源...
众创空间运营副经理,厦门市美亚柏科信息股份有限公司,厦门市,0,,2019-5-10 9:53,工作职责：1、负责青果创客汇的整体运营规划，使空间与上市公司形成很好的协同； 2、根据公司发展的整体目标和方位搜索，制订招商计划并对招商工作进行统筹管理和推进； 3、对接内部创业和外部创业企业的服务...
资深投资专员,厦门市美亚柏科信息股份有限公司,厦门市,0,,2019-5-10 9:53,工作职责：1、参与组织及负责公司投资类行业及项目的信息收集和调研，并起草调研与分析报告； 2、负责多个投资并购项目的实施、检查项目运作情况以及评估项目投资效果； 3、负责多个项目的拟投资项目的尽职调...
地产投资主管,泉舜集团有限公司,厦门市湖里区,10000,本科,2019-5-10 9:51,1.开展土地信息研究（包括政策、土地行情及城市发展规划），为投资决策提供信息支持；2.负责项目拓展信息收集，进行项目初选，为集团提供决策依据；3.负责房地产开发项目的前期考察、可行性研究（含风控方案制定...
上市顾问,两岸梧桐（厦门）中小企业创业服务有限公司,厦门市湖里区,6000,本科,2019-5-10 9:38,岗位职责：1、提供中小微企业的上市规划服务（包括企业股改、股权激励、纳税筹划等等），培育初创企业，走向资本市场，包括挖掘企业亮点，梳理商业模式，进行详细的顶层设计和顶层股权激励的规则，并安排资本运作...
行政外勤,厦门恒之源投资咨询有限公司,厦门市思明区,3600,大专,2019-5-10 9:35,"一、岗位职责：1、外联工作需经常外出，带客户与工商/税务/银行等相关部门对接工作。二、岗位要求：独立高效完成日常业务和公司交代的任务，尽力解决工作中遇到的难题.朝九晚六,周末双休,享受五险及国家..."
董事长秘书,厦门美家帮科技股份有限公司,厦门市、广东省,15000,本科,2019-5-10 9:35,岗位职责：1、负责传达董事会的决定和指示，搞好各部、各子公司间的协调，督促检查贯彻执行情况；3、根据公司经营发展要求，协助董事会进行发展方向的研究，参与制定公司发展目标、发展战略、中长期规划和年度工...
金融渠道经理,福建豪山资产管理有限公司,厦门市思明区,0,,2019-5-10 9:34,岗位职责：1、根据公司的战略目标和经营策略，策划和执行机构渠道建设的市场策略及推广计划，主要为获取优质资产端；2、拓展当地各类型金融服务机构（银行、券商、信托、期货、基金公司等）的产品销售部门、资产...
资深理财经理,福建豪山资产管理有限公司,厦门市,0,,2019-5-10 9:34,岗位职责：1、负责银行、券商、信托、财富管理机构等合作渠道的开拓、维护及服务 2、负责开发高净值客户，并为客户提供专业的投资理财服务3、负责对公司分配的客户资源进行拓展维护，满足客户的理财需求；4...
债券交易员,福建豪山资产管理有限公司,厦门市思明区,0,,2019-5-10 9:34,岗位职责：？1.协助投资经理进行债券市场形势的研究分析，做好日常债券投资信息收集和文档管理工作；？2.把握债券产品的投资方向，发掘投资机会并规避风险，及时向投资经理提出建议；？3.执行债券品种投资交易...
金融研究助理（实习生）,福建豪山资产管理有限公司,厦门市思明区,0,本科,2019-5-10 9:34,岗位职责：1.收集整理债券发行人信息，撰写行业和发行人研究报告，提出投资或处置建议。2.跟踪记录宏观经济数据和债券市场成交信息，总结卖方研究观点，编写每日市场简报。任职要求：1.已保研或在读研究生...
金融产品项目经理,福建豪山资产管理有限公司,厦门市思明区,0,,2019-5-10 9:34,岗位职责：1、负责项目的开拓与对接，并与交易对手进行沟通谈判；2、负责银行、券商、信托、基金等合作金融机构的维护与拓展，并挖掘潜在业务机会；3、负责公司项目的推进，与项目各方进行沟通协商，以保证项...
